type,url,filter,listing_count,phase
listing,/restaurant/orlando/aventura-hotel-starbucks-coffee-5814553,license_key=5814553,1,3
listing,/restaurant/orlando/avid-hotel-orlando-intl-airport-5814889,license_key=5814889,1,2
listing,/restaurant/celebration/avocado-mexican-grill-5911370,license_key=5911370,1,1
listing,/restaurant/winter-park/axetrap-5815209,license_key=5815209,1,3
listing,/restaurant/vero-beach/ay-jalisco-ii-4105336,license_key=4105336,1,1
listing,/restaurant/sebastian/ay-jalisco-iii-4105107,license_key=4105107,1,1
listing,/restaurant/clermont/ay-jalisco-4508301,license_key=4508301,1,1
listing,/restaurant/the-villages/ay-jalisco-4508457,license_key=4508457,1,1
listing,/restaurant/orlando/azteca-d-oro-mexican-restaurant-5809611,license_key=5809611,1,1
listing,/restaurant/orlando/azteca-d-oro-5806211,license_key=5806211,1,2
listing,/restaurant/orlando/azteca-d-oro-5813676,license_key=5813676,1,1
listing,/restaurant/cocoa-beach/azteca-two-mexican-restaurant-1505054,license_key=1505054,1,3
listing,/restaurant/orlando/azzula-express-5803793,license_key=5803793,1,3
listing,/restaurant/orlando/babbi-babbi-korean-kitchen-5812053,license_key=5812053,1,1
listing,/restaurant/ormond-beach/babe-s-blue-room-lounge-inc-7403557,license_key=7403557,1,2
listing,/restaurant/orlando/bachata-breeze-restaurant-5808633,license_key=5808633,1,2
listing,/restaurant/satellite-beach/baci-beachside-1506470,license_key=1506470,1,2
listing,/restaurant/new-smyrna-beach/baci-pizzeria-ristorante-7407311,license_key=7407311,1,1
listing,/restaurant/vero-beach/baci-trattoria-incorporated-4101267,license_key=4101267,1,2
listing,/restaurant/orlando/bacio-ice-cream-5815194,license_key=5815194,1,2
listing,/restaurant/longwood/back-porch-6905038,license_key=6905038,1,2
listing,/restaurant/altamonte-springs/back-yard-burgers-6903266,license_key=6903266,1,1
listing,/restaurant/bay-lake/backlot-express-restaurant-5805132,license_key=5805132,1,1
listing,/restaurant/orlando/backstage-billiards-5815061,license_key=5815061,1,2
listing,/restaurant/orlando/backstage-billiards-5814112,license_key=5814112,1,2
listing,/restaurant/lake-buena-vista/backstretch-pool-bar-5812222,license_key=5812222,1,3
listing,/restaurant/melbourne/backwater-2-1507081,license_key=1507081,1,2
listing,/restaurant/melbourne/backwater-1506439,license_key=1506439,1,1
listing,/restaurant/south-daytona/backyard-boys-bbq-inc-7407076,license_key=7407076,1,1
listing,/restaurant/orlando/bad-as-s-sandwich-5814146,license_key=5814146,1,1
listing,/restaurant/clermont/bagel-bros-cafe-4508952,license_key=4508952,1,2
listing,/restaurant/clermont/bagel-bros-cafe-4508896,license_key=4508896,1,2
listing,/restaurant/winter-park/bagel-king-bakery-inc-5812400,license_key=5812400,1,2
listing,/restaurant/debary/bagel-king-express-7406823,license_key=7406823,1,3
listing,/restaurant/merritt-island/bagel-world-deli-1503591,license_key=1503591,1,3
listing,/restaurant/merritt-island/bagel-world-at-victoria-sq-1504955,license_key=1504955,1,3
listing,/restaurant/orlando/bahama-breeze-3061-5814342,license_key=5814342,1,1
listing,/restaurant/orlando/bahama-breeze-3001-5808005,license_key=5808005,1,1
listing,/restaurant/altamonte-springs/bahama-breeze-3002-6903540,license_key=6903540,1,1
listing,/restaurant/orlando/bahama-breeze-3016-5809965,license_key=5809965,1,1
listing,/restaurant/kissimmee/bahama-breeze-3046-5911252,license_key=5911252,1,1
listing,/restaurant/orlando/bahama-breeze-5814437,license_key=5814437,1,2
listing,/restaurant/kissimmee/bahama-buck-s-fl-1215-5911663,license_key=5911663,1,3
listing,/restaurant/orlando/bahama-bucks-5814297,license_key=5814297,1,2
listing,/restaurant/deland/bakechop-7407115,license_key=7407115,1,1
listing,/restaurant/new-smyrna-beach/bakers-table-7407015,license_key=7407015,1,2
listing,/restaurant/kissimmee/bakery-and-pupuseria-torogoz-llc-5911354,license_key=5911354,1,3
listing,/restaurant/orlando/bakewell-foodcourt-5815272,license_key=5815272,1,3
listing,/restaurant/merritt-island/balibar-wines-and-grinds-1506766,license_key=1506766,1,3
listing,/restaurant/orlando/ballroom-5806431,license_key=5806431,1,2
listing,/restaurant/orlando/bamboo-bar-5809688,license_key=5809688,1,3
listing,/restaurant/lady-lake/bamboo-bistro-asian-fusion-4508485,license_key=4508485,1,2
listing,/restaurant/sebastian/bamboo-court-4101261,license_key=4101261,1,3
listing,/restaurant/ormond-beach/bamboo-garden-7403146,license_key=7403146,1,2
listing,/restaurant/sebastian/bamboo-wok-4105139,license_key=4105139,1,3
listing,/restaurant/kissimmee/banana-cabana-pool-bar-5910307,license_key=5910307,1,3
listing,/restaurant/satellite-beach/banana-river-cafe-1506050,license_key=1506050,1,2
listing,/restaurant/orlando/bananas-greenleafs-5813903,license_key=5813903,1,3
listing,/restaurant/orlando/bandeja-paisa-latin-restaurant-5812100,license_key=5812100,1,1
listing,/restaurant/orlando/banh-mi-y-nhu-5811543,license_key=5811543,1,3
listing,/restaurant/orlando/banquet-facilities-5804180,license_key=5804180,1,1
listing,/restaurant/orlando/banquet-kitchen-5811007,license_key=5811007,1,3
listing,/restaurant/champions-gate/banquet-production-kitchen-5811307,license_key=5811307,1,3
listing,/restaurant/orlando/banrai-sushi-5812599,license_key=5812599,1,3
listing,/restaurant/orlando/banshoo-sushi-bar-5812321,license_key=5812321,1,3
listing,/restaurant/melbourne/banzai-sushi-thai-restaurant-1505572,license_key=1505572,1,2
listing,/restaurant/orlando/bar-meets-grill-5803951,license_key=5803951,1,3
listing,/restaurant/kissimmee/bar-veros-5911651,license_key=5911651,1,3
listing,/restaurant/lake-buena-vista/barcelona-lounge-5814387,license_key=5814387,1,3
listing,/restaurant/orlando/barefoot-bar-5803335,license_key=5803335,1,3
